Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
KIA SONET,KIA,SONET,2020,71317,Petrol,Manual,1,600000,"Bachupally, Hyderabad"
Volkswagen Ameo,Volkswagen,Ameo,2016,101543,Diesel,Auto,1,325000,"Bachupally, Hyderabad"
Ford Figo Aspire,Ford,Figo Aspire,2016,97033,Petrol,Manual,1,320291,"Kompally, Hyderabad"
Maruti Alto,Maruti,Alto,2020,26206,Petrol,Manual,1,230000,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2018,77098,Petrol,Manual,1,465000,"Kompally, Hyderabad"
Nissan MAGNITE,Nissan,MAGNITE,2021,88008,Petrol,Manual,1,496000,"Kompally, Hyderabad"
Ford Figo Aspire,Ford,Figo Aspire,2016,92931,Petrol,Manual,1,320291,"Kompally, Hyderabad"
Tata Tiago,Tata,Tiago,2020,139031,Petrol,Manual,2,316775,"Bachupally, Hyderabad"
Renault Kwid,Renault,Kwid,2020,52389,Petrol,Manual,2,286000,"Bachupally, Hyderabad"
Tata ALTROZ,Tata,ALTROZ,2021,55699,Petrol,Manual,2,419000,"Bachupally, Hyderabad"
Volkswagen Polo,Volkswagen,Polo,2019,84513,Petrol,Manual,2,398000,"Upperpally, Attapur, Hyderabad"
Mahindra XUV500,Mahindra,XUV500,2018,118011,Diesel,Manual,1,770000,"Kompally, Hyderabad"
Maruti S PRESSO,Maruti,S PRESSO,2021,117149,Petrol,Auto,1,266000,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2016,62592,Petrol,Manual,1,195000,"Bachupally, Hyderabad"
Datsun Go Plus,Datsun,Go Plus,2017,65431,Petrol,Manual,1,255000,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2020,81618,Petrol,Manual,3,544880,"Upperpally, Attapur, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2017,92556,Petrol,Manual,2,366000,"Upperpally, Attapur, Hyderabad"
Tata Tiago,Tata,Tiago,2016,98516,Diesel,Manual,1,270757,"Kompally, Hyderabad"
