Name,Brand,Model,Year,KM Driven,Fuel,Transmission,Ownership,Price,Location
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2017,41037,Petrol,Auto,1,350000,"Kompally, Hyderabad"
Maruti Ciaz,Maruti,Ciaz,2016,118363,Diesel,Manual,1,430000,"Bachupally, Hyderabad"
Maruti Ciaz,Maruti,Ciaz,2019,67257,Petrol,Manual,1,570000,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2018,47441,Petrol,Auto,2,296185,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2019,71087,Petrol,Manual,1,456146,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Baleno,Maruti,Baleno,2017,75352,Petrol,Manual,1,397000,"Kompally, Hyderabad"
Hyundai Xcent,Hyundai,Xcent,2014,104349,Petrol,Manual,1,290000,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2018,74001,Petrol,Auto,1,332000,"Kompally, Hyderabad"
Renault TRIBER,Renault,TRIBER,2022,29516,Petrol,Manual,1,558000,"Kompally, Hyderabad"
KIA SONET,KIA,SONET,2023,26170,Petrol,Auto,1,940631,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2017,55887,Petrol,Auto,1,359000,"Kompally, Hyderabad"
Maruti Swift,Maruti,Swift,2016,59872,Petrol,Manual,2,349000,"Kompally, Hyderabad"
Maruti Vitara Brezza,Maruti,Vitara Brezza,2020,60281,Petrol,Auto,1,678837,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2015,88408,Petrol,Manual,1,300000,"Bachupally, Hyderabad"
Nissan MAGNITE,Nissan,MAGNITE,2024,18038,Petrol,Auto,1,692000,"Bachupally, Hyderabad"
Maruti Swift,Maruti,Swift,2015,149908,Diesel,Manual,1,383000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Mahindra Xylo,Mahindra,Xylo,2019,127718,Diesel,Manual,1,401000,"Kompally, Hyderabad"
Maruti Grand Vitara,Maruti,Grand Vitara,2023,77322,Petrol,Manual,1,1038000,"Upperpally, Attapur, Hyderabad"
Maruti Celerio,Maruti,Celerio,2016,105686,Petrol,Auto,1,280000,"Kompally, Hyderabad"
Datsun Go,Datsun,Go,2016,43007,Petrol,Manual,1,220190,"Kompally, Hyderabad"
Hyundai i10,Hyundai,i10,2015,82983,Petrol,Manual,1,242000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2013,34301,Petrol,Manual,1,245000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Toyota Glanza,Toyota,Glanza,2023,21286,Petrol,Manual,2,747312,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Hyundai Grand i10,Hyundai,Grand i10,2014,28456,Petrol,Manual,1,302000,"Kompally, Hyderabad"
Maruti Celerio,Maruti,Celerio,2016,71185,Petrol,Auto,1,306175,"Kompally, Hyderabad"
Honda WR-V,Honda,WR-V,2018,77396,Diesel,Manual,1,570000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Ciaz,Maruti,Ciaz,2018,131896,Petrol,Manual,1,473000,"Bachupally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2018,59136,Petrol,Manual,1,445826,"Kompally, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2018,80284,Petrol,Auto,2,320000,"Bachupally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2019,45696,Petrol,Manual,1,430000,"Bachupally, Hyderabad"
Ford Ecosport,Ford,Ecosport,2016,84066,Petrol,Auto,1,504000,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2023,20796,Petrol,Manual,1,945000,"Upperpally, Attapur, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2015,36091,Petrol,Manual,1,266000,"Bachupally, Hyderabad"
Honda City,Honda,City,2022,95968,Petrol,Auto,1,970000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2016,78328,Diesel,Manual,1,499000,"Kompally, Hyderabad"
KIA SONET,KIA,SONET,2020,38102,Petrol,Auto,1,739000,"Kompally, Hyderabad"
Hyundai GRAND I10 NIOS,Hyundai,GRAND I10 NIOS,2019,105170,Petrol,Manual,2,403000,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2019,34835,Petrol,Auto,1,360000,"Kompally, Hyderabad"
Volkswagen TAIGUN,Volkswagen,TAIGUN,2021,69553,Petrol,Manual,1,1129000,"Upperpally, Attapur, Hyderabad"
Maruti Swift Dzire,Maruti,Swift Dzire,2016,110920,Diesel,Manual,2,428000,"Bachupally, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2018,38693,Petrol,Manual,2,236000,"Bachupally, Hyderabad"
Honda City,Honda,City,2012,100199,Petrol,Manual,3,326312,"Upperpally, Attapur, Hyderabad"
Maruti Swift,Maruti,Swift,2013,36500,Petrol,Manual,1,332000,"Kompally, Hyderabad"
Ford Ecosport,Ford,Ecosport,2016,78987,Diesel,Manual,1,473000,"Upperpally, Attapur, Hyderabad"
Tata NEXON,Tata,NEXON,2023,22650,Petrol,Auto,1,926000,"Bachupally, Hyderabad"
Maruti New Wagon-R,Maruti,New Wagon-R,2021,53371,Petrol,Auto,1,473426,"Kompally, Hyderabad"
Ford Ecosport,Ford,Ecosport,2016,95314,Diesel,Manual,1,468000,"Upperpally, Attapur, Hyderabad"
Hyundai i10,Hyundai,i10,2015,49938,Petrol,Manual,1,289064,"Kompally, Hyderabad"
Tata NEXON,Tata,NEXON,2020,75437,Diesel,Auto,1,739000,"Bachupally, Hyderabad"
Honda City,Honda,City,2015,35151,Petrol,Manual,1,455000,"Kompally, Hyderabad"
KIA SONET,KIA,SONET,2022,71490,Diesel,Manual,1,880000,"Kompally, Hyderabad"
Maruti Alto K10,Maruti,Alto K10,2019,61301,Petrol,Manual,1,279000,"Kompally, Hyderabad"
Honda City,Honda,City,2014,91007,Petrol,Manual,2,474000,"Kompally, Hyderabad"
Hyundai Creta,Hyundai,Creta,2020,49160,Petrol,Auto,2,1152000,"Kompally, Hyderabad"
Honda Amaze,Honda,Amaze,2019,114792,Petrol,Manual,1,453119,"Kompally, Hyderabad"
Maruti New Wagon-R,Maruti,New Wagon-R,2020,86495,Petrol,Auto,1,394825,"Bachupally, Hyderabad"
Tata NEXON,Tata,NEXON,2018,58076,Diesel,Manual,1,576000,"Bachupally, Hyderabad"
Hyundai Creta,Hyundai,Creta,2019,61373,Petrol,Auto,1,821000,"Upperpally, Attapur, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2016,87020,Petrol,Manual,2,295000,"Kompally, Hyderabad"
Maruti S PRESSO,Maruti,S PRESSO,2023,36469,Petrol,Auto,1,417000,"Kompally, Hyderabad"
Maruti S PRESSO,Maruti,S PRESSO,2024,23133,CNG,Manual,1,463000,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Honda Jazz,Honda,Jazz,2015,53220,Petrol,Auto,1,406000,"Kompally, Hyderabad"
Maruti Baleno,Maruti,Baleno,2016,47932,Petrol,Auto,1,437000,"Kompally, Hyderabad"
Hyundai VENUE,Hyundai,VENUE,2022,36043,Petrol,Manual,1,791000,"Upperpally, Attapur, Hyderabad"
Maruti IGNIS,Maruti,IGNIS,2017,116251,Petrol,Auto,1,359000,"Bachupally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2019,114342,Diesel,Manual,1,569825,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Volkswagen Vento,Volkswagen,Vento,2020,75662,Petrol,Manual,1,719000,"Kompally, Hyderabad"
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2018,89121,Petrol,Auto,1,341000,"Kompally, Hyderabad"
Hyundai VENUE,Hyundai,VENUE,2020,119717,Petrol,Auto,2,639000,"Kompally, Hyderabad"
Hyundai Elite i20,Hyundai,Elite i20,2015,66605,Petrol,Manual,1,406047,"Kompally, Hyderabad"
Chevrolet Sail UVA,Chevrolet,Sail UVA,2013,28442,Petrol,Manual,1,287370,"Kompally, Hyderabad"
Honda City,Honda,City,2013,74638,Petrol,Manual,1,324817,"Kompally, Hyderabad"
KIA SONET,KIA,SONET,2022,45352,Diesel,Manual,1,972566,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2016,130438,Petrol,Manual,2,188056,"Kompally, Hyderabad"
Volkswagen Ameo,Volkswagen,Ameo,2016,78203,Petrol,Manual,1,415819,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Alto 800,Maruti,Alto 800,2018,22521,Petrol,Manual,1,280220,"GVK One Mall, Banjara Hills, Hyderabad, Telangana "
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2015,108880,Petrol,Manual,2,236316,"Kompally, Hyderabad"
Hyundai GRAND I10 NIOS,Hyundai,GRAND I10 NIOS,2022,35137,Petrol,Manual,1,560730,"Kompally, Hyderabad"
Hyundai Eon,Hyundai,Eon,2016,44154,Petrol,Manual,2,241485,"Kompally, Hyderabad"
Hyundai Grand i10,Hyundai,Grand i10,2016,28348,Petrol,Manual,1,386673,"Kompally, Hyderabad"
Honda Brio,Honda,Brio,2013,42867,Petrol,Auto,1,308656,"Kompally, Hyderabad"
Renault Kwid,Renault,Kwid,2018,32954,Petrol,Auto,1,312326,"Upperpally, Attapur, Hyderabad"
Maruti Alto 800,Maruti,Alto 800,2017,42039,Petrol,Manual,2,215835,"Kompally, Hyderabad"
Hyundai Eon,Hyundai,Eon,2012,55349,Petrol,Manual,1,166000,Mayurinagar Miyapur Hyderabad Hyderabad
Mahindra XUV500,Mahindra,XUV500,2014,88954,Diesel,Manual,2,357000,Keerthi Colony Warangal
Renault TRIBER,Renault,TRIBER,2020,64436,Petrol,Manual,1,290000,Madhapur Telangana Hyderabad
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2018,120913,Petrol,Manual,2,280000,Narapally Narapally Hyderabad
Mahindra XUV500,Mahindra,XUV500,2014,71036,Diesel,Manual,2,589000,Hyderabad Nallagandla Telangana
Hyundai Eon,Hyundai,Eon,2013,105098,Petrol,Manual,2,133000,Falaknuma Hyderabad Telangana
Mahindra XUV500,Mahindra,XUV500,2014,125000,Diesel,Manual,3,410000,Prashant Hills Hyderabad
Maruti Wagon R Stingray,Maruti,Wagon R Stingray,2013,60233,Petrol,Manual,2,165000,Shivshankar Nagar Hyderabad
Honda City,Honda,City,2017,102132,Petrol,Manual,1,509000,magna majestic meadows Osmannagar Hyderabad
Hyundai i10,Hyundai,i10,2013,86283,Petrol,Manual,2,243000,Telangana India Hyderabad
Maruti Swift,Maruti,Swift,2018,90388,Petrol,Manual,1,487000,Kukatpally Hyderabad
Maruti Dzire,Maruti,Dzire,2018,70043,Diesel,Manual,2,555000,Yella Reddy Guda Hyderabad Telangana
Jeep Compass,Jeep,Compass,2017,150370,Diesel,Manual,2,840000,Isnapur Hyderabad
Hyundai Verna,Hyundai,Verna,2015,130166,Diesel,Manual,3,400000,Gunbaz Begumpet Gunbaz Begumpet Hyderabad
Nissan MAGNITE,Nissan,MAGNITE,2022,23848,Petrol,Manual,2,428000,5-51-79a Sangareddy Hyderabad
Maruti Swift,Maruti,Swift,2014,63754,Petrol,Manual,2,328000,SBR Community Hall Boduppal Hyderabad
Hyundai Elite i20,Hyundai,Elite i20,2019,61045,Petrol,Manual,2,556000,Peeramcheru Hyderabad Telangana
Maruti Baleno,Maruti,Baleno,2015,53683,Petrol,Auto,1,374000,Kausalya estate Kausalya estate Secunderabad
Tata NEXON,Tata,NEXON,2021,18923,Petrol,Manual,1,666000,Lakdikapul Hyderabad
Tata NEXON,Tata,NEXON,2020,47882,Petrol,Auto,1,741000,Dulapally Hyderabad Telangana
Volkswagen Polo,Volkswagen,Polo,2014,67365,Petrol,Auto,3,354000,Sri Ramnagar - Block B Hyderabad Telangana
Ford Ecosport,Ford,Ecosport,2018,138167,Diesel,Manual,1,410000,18 SLN HOMES CHERIYAL Behind DIVINE GRACE INTERNATIONAL SCHOOL Hyderabad
Volkswagen TAIGUN,Volkswagen,TAIGUN,2021,29642,Petrol,Auto,1,1037000,Narsingi Telangana India
Hyundai Verna,Hyundai,Verna,2011,67527,Petrol,Manual,3,266000,Sri Ram nager surarum colony Hyderabad
Hyundai Elite i20,Hyundai,Elite i20,2016,71131,Petrol,Manual,1,457000,Pragathi Nagar Hyderabad Telangana
Hyundai Elite i20,Hyundai,Elite i20,2018,95843,Diesel,Manual,1,504000,Sai Pruthvi Enclave Hyderabad
Hyundai i10,Hyundai,i10,2011,58703,Petrol,Manual,2,195000,Ajm star apartment Ajm star apartment Hyderabad
Renault Duster,Renault,Duster,2017,154280,Diesel,Auto,1,550000,Vasudeva Bloomfield ecstasy Vasudeva Bloomfield ecstasy Hyderabad
Mahindra XUV700,Mahindra,XUV700,2021,49766,Petrol,Auto,1,1521000,Hyderguda Hyderabad Telangana
Hyundai GRAND I10 NIOS,Hyundai,GRAND I10 NIOS,2020,85172,Petrol,Auto,1,525000,Hyderabad Secunderabad Telangana
Mahindra XUV300,Mahindra,XUV300,2020,153511,Diesel,Auto,1,700000,Whisper Valley Hyderabad
Hyundai i20,Hyundai,i20,2011,170000,Diesel,Manual,2,213000,Chanakyapuri Hyderabad Telangana
Hyundai Verna,Hyundai,Verna,2019,105785,Petrol,Manual,1,782000,92 Shanthi Nagar Colony Hyderabad
Ford FREESTYLE,Ford,FREESTYLE,2020,60623,Petrol,Manual,1,492000,Exit - 18 Hyderabad Telangana
Maruti Swift,Maruti,Swift,2011,243153,Diesel,Manual,4,154000,Bolarum Secunderabad
Mahindra XUV700,Mahindra,XUV700,2023,40596,Diesel,Auto,1,2068000,Hyderabad Telangana India
Hyundai Verna,Hyundai,Verna,2011,94615,Petrol,Manual,3,159000,Balanagar Hyderabad Telangana
Toyota Innova Crysta,Toyota,Innova Crysta,2017,200204,Diesel,Manual,2,1654000,Bolarum Secunderabad Telangana
Maruti Swift Dzire,Maruti,Swift Dzire,2014,142545,Diesel,Manual,2,135000,Pocharam Hyderabad Telangana
Renault Duster,Renault,Duster,2013,150043,Diesel,Manual,2,244000,Singireddy ganapathi nilayam Nallakunta Singireddy ganapathi nilayam Nallakunta Hyderabad
Hyundai Creta,Hyundai,Creta,2022,114198,Diesel,Manual,1,1429000,HITEC City Hyderabad Telangana
Mitsubishi Pajero Sport,Mitsubishi,Pajero Sport,2013,108420,Diesel,Manual,1,374000,17-2-940/1 reinbazar yakhutpura
Maruti Swift,Maruti,Swift,2012,66304,Diesel,Manual,1,235000,Dilsukhnagar Hyderabad Telangana
Tata NEXON,Tata,NEXON,2024,22026,Diesel,Manual,1,891000,Khilwat Hyderabad Telangana
Maruti Alto 800,Maruti,Alto 800,2012,9630,Petrol,Manual,1,162000,RTC Colony Hyderabad
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2013,136216,Petrol,Manual,2,215000,Bharat Heavy Electricals Limited Hyderabad Telangana
Honda City,Honda,City,2017,136552,Petrol,Auto,1,650000,8-1-371 Shivaji nagar Hyderabad
Volkswagen Polo,Volkswagen,Polo,2014,86264,Petrol,Manual,3,337000,Ramachandrapuram Hyderabad Telangana
Skoda Rapid,Skoda,Rapid,2020,68541,Petrol,Manual,2,679000,DJRR Raghava Residency DJRR Raghava Residency Hyderabad
BMW 3 Series,BMW,3 Series,2012,109961,Diesel,Auto,3,330000,Bahadurpura Hyderabad Telangana
Maruti Ciaz,Maruti,Ciaz,2015,134166,Petrol,Manual,2,353000,Neredmet Secunderabad Telangana
Honda Amaze,Honda,Amaze,2015,67207,Petrol,Manual,2,235000,Srk nagar Hyderabad Telangana
Ford New Figo,Ford,New Figo,2015,47525,Petrol,Manual,4,201000,Santosh Nagar Hyderabad Telangana
Mahindra XUV300,Mahindra,XUV300,2024,12902,Petrol,Manual,2,673000,Kothapet Hyderabad Telangana
MG HECTOR PLUS,MG,HECTOR PLUS,2023,18000,Petrol,Manual,2,1465000,Telangana India Hyderabad
Hyundai Eon,Hyundai,Eon,2013,78197,Petrol,Manual,2,156000,Gandhi Nagar Gandhinagar Hyderabad
KIA SELTOS,KIA,SELTOS,2020,30420,Petrol,Manual,2,719000,Rangareddy Ramky one galaxia nallagandla Hyderabad
KIA SONET,KIA,SONET,2024,13078,Petrol,Manual,1,752000,Vijaya Nagar Colony Hyderabad Telangana
Maruti Alto K10,Maruti,Alto K10,2014,87350,Petrol,Manual,1,176000,Gandipet Bandlaguda Jagir Telangana
Maruti Alto 800,Maruti,Alto 800,2016,86520,Petrol,Manual,3,201000,Vanasthalipuram Hyderabad Telangana
Maruti Alto 800,Maruti,Alto 800,2014,86600,Petrol,Manual,2,196000,Bachupally Hyderabad Telangana
Skoda Rapid,Skoda,Rapid,2017,173692,Diesel,Manual,1,450000,Attapur Jai Hyderabad
Maruti XL6,Maruti,XL6,2020,122203,Petrol,Auto,1,897000,Panjagutta Panjagutta Hyderabad
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2013,109457,Petrol,Manual,1,258000,Kavadiguda Hyderabad Telangana
Renault Fluence,Renault,Fluence,2013,192442,Diesel,Manual,2,325000,Peeramcheru Hyderabad Telangana
Volkswagen Ameo,Volkswagen,Ameo,2018,77750,Petrol,Manual,1,341000,Vnr complex Mallapur Hyderabad
Tata Zest,Tata,Zest,2014,105712,Petrol,Manual,1,160000,Manbhum Bougainville Manbhum Bougainville Hyderabad
Ford Ecosport,Ford,Ecosport,2018,84556,Diesel,Manual,1,643000,Golconda Mansion Golconda Mansion Hyderabad
Tata NEXON,Tata,NEXON,2021,68601,Petrol,Manual,1,580000,Quthbullapur Hyderabad
Honda Jazz,Honda,Jazz,2016,65653,Petrol,Manual,2,367000,GSR Residency GSR Residency Hyderabad
Tata PUNCH,Tata,PUNCH,2022,21319,Petrol,Manual,2,525000,Nagole Hyderabad Telangana
Jeep Compass,Jeep,Compass,2017,98267,Diesel,Manual,2,617000,Madhapur Hyderabad Telangana
Renault Fluence,Renault,Fluence,2013,159823,Diesel,Manual,2,374000,Sri Sai nilayam Sri sai hills Hyderabad
Maruti Baleno,Maruti,Baleno,2019,49229,Petrol,Manual,2,400000,Kukatpally Hyderabad Telangana
Hyundai VENUE,Hyundai,VENUE,2019,52658,Petrol,Manual,1,566000,Telangana India Hyderabad
Honda City,Honda,City,2014,124862,Diesel,Manual,2,285000,Jeedimetla Hyderabad Telangana
Maruti Alto 800,Maruti,Alto 800,2014,81906,Petrol,Manual,2,172000,Kompally Kompally Secunderabad
Volkswagen Vento,Volkswagen,Vento,2014,114545,Diesel,Manual,2,256000,Dwaraka residency Dwaraka residency Hyderabad
Maruti Swift,Maruti,Swift,2018,101058,Petrol,Auto,1,466000,Bachupally Hyderabad Telangana
Datsun Go,Datsun,Go,2014,35577,Petrol,Manual,2,156000,Road NO-2 MJ COLONY Secunderabad
Maruti Grand Vitara,Maruti,Grand Vitara,2024,19229,Petrol,Manual,1,903000,OPP murali villa OPP murali villa Secunderabad
Ford Ecosport,Ford,Ecosport,2014,71138,Petrol,Manual,3,242000,Tellapur Hyderabad Telangana
Tata Zest,Tata,Zest,2016,213990,Diesel,Manual,2,259000,Hyderabad Telangana India
KIA SONET,KIA,SONET,2023,35912,Diesel,Manual,1,1081000,Madhuranagar raod no 2 Madhuranagar raod no 2 Hyderabad
Hyundai Eon,Hyundai,Eon,2012,56120,Petrol,Manual,1,89000,Miyapur Miyapur Hyderabad
Renault Duster,Renault,Duster,2014,217357,Diesel,Manual,2,250000,Telangana India Beside Indian oil pump
Chevrolet Sail,Chevrolet,Sail,2013,76327,Petrol,Manual,2,202000,Kukatpally Hyderabad
BMW X1,BMW,X1,2019,26756,Diesel,Auto,1,2230000,HITEC City Hyderabad
Volkswagen Polo,Volkswagen,Polo,2019,17441,Petrol,Manual,2,370000,King Koti Hyderabad Telangana
Honda Civic,Honda,Civic,2019,69661,Petrol,Auto,2,1187000,Indu gardenia willow block Near Hyderabad
Skoda Rapid,Skoda,Rapid,2012,92449,Diesel,Manual,2,192000,Ramanthapur Hyderabad Telangana
Hyundai i10,Hyundai,i10,2014,161261,Petrol,Manual,1,250000,Kukatpally Hyderabad Telangana
Hyundai New Elantra,Hyundai,New Elantra,2014,173837,Diesel,Manual,2,383000,A black A black Hyderabad
Toyota Corolla Altis,Toyota,Corolla Altis,2011,284313,Diesel,Manual,3,331000,RTC Supervisors Colony Hayathnagar_Khalsa
Hyundai Eon,Hyundai,Eon,2015,87568,Petrol,Manual,2,167000,Parvathi nagar road no 3 Parvathi nagar road no 3 Hyderabad
Renault Kwid,Renault,Kwid,2018,89208,Petrol,Auto,2,277000,Kompally Hyderabad Telangana
Renault Kwid,Renault,Kwid,2019,92652,Petrol,Manual,2,184000,Langar Houz Hyderabad Telangana
Maruti Swift Dzire,Maruti,Swift Dzire,2016,143965,Diesel,Manual,2,230000,Shalivahana Nagar Yella Reddy Guda Hyderabad
Maruti Alto 800,Maruti,Alto 800,2015,56174,Petrol,Manual,2,223000,null Hyderabad Telangana
Maruti Swift Dzire,Maruti,Swift Dzire,2011,80471,Petrol,Manual,2,106000,Nanakramguda Hyderabad Telangana
KIA CARENS,KIA,CARENS,2024,29098,Petrol,Manual,1,950000,Diamond Hills Colony Shaikpet Hyderabad
Mahindra XUV300,Mahindra,XUV300,2020,56450,Petrol,Manual,3,450487,Aparna CyberZon Aparna CyberZon Nallagandla
Maruti Alto 800,Maruti,Alto 800,2015,88549,Petrol,Manual,2,200000,Alwal Hyderabad Telangana
Skoda Rapid,Skoda,Rapid,2017,60421,Petrol,Manual,2,400000,Ashok Nagar Ashok Nagar Hyderabad
Hyundai Creta,Hyundai,Creta,2018,118389,Petrol,Auto,2,1126000,Azad Nagar Jadcherla
Maruti Alto 800,Maruti,Alto 800,2018,78563,Petrol,Manual,4,225000,Kompally Hyderabad
Maruti Swift Dzire,Maruti,Swift Dzire,2013,133194,Diesel,Manual,2,333000,Habsiguda Hyderabad
KIA SONET,KIA,SONET,2022,51376,Petrol,Manual,1,935000,Serilingampalle (M) Hyderabad Telangana
BMW 3 Series,BMW,3 Series,2014,156770,Diesel,Auto,1,1136574,Gachibowli Hyderabad
Maruti Dzire,Maruti,Dzire,2021,61217,Petrol,Manual,1,487000,Kakathiya hills Naladala arcade Hyderabad
KIA SELTOS,KIA,SELTOS,2020,49279,Petrol,Auto,1,1093000,Kompally Hyderabad Telangana
Volkswagen Polo,Volkswagen,Polo,2014,85034,Petrol,Manual,1,277000,Jains Carlton Creek Jains Carlton Creek Hyderabad
Maruti Swift,Maruti,Swift,2022,77332,Petrol,Manual,2,482000,Cherlapalli Secunderabad Telangana
Renault Pulse,Renault,Pulse,2016,101693,Petrol,Manual,2,187000,Jubilee Hills Hyderabad Telangana
Hyundai NEW I20,Hyundai,NEW I20,2021,115122,Petrol,Manual,1,515000,Happy homes Happy homes Hyderabad
Nissan Micra,Nissan,Micra,2013,114099,Petrol,Auto,2,215000,Edi Bazaar Hyderabad Telangana
Tata Tiago,Tata,Tiago,2018,70624,Petrol,Manual,1,315000,Street no 3.. Panduranga Nagar Attapur Hyderabad
Honda Amaze,Honda,Amaze,2013,87709,Petrol,Manual,3,278000,Kishanbagh Kishanbagh Hyderabad
Honda Amaze,Honda,Amaze,2014,114925,Diesel,Manual,2,342000,Kukatpally Hyderabad Telangana
Skoda Octavia,Skoda,Octavia,2016,145989,Diesel,Auto,1,650000,Hyderabad Secunderabad Telangana
Hyundai Santro Xing,Hyundai,Santro Xing,2012,39116,Petrol,Manual,2,200000,Uppal Secunderabad Telangana
Honda Amaze,Honda,Amaze,2013,179473,Diesel,Manual,2,239000,B.N Reddy Nagar Hyderabad
Hyundai Eon,Hyundai,Eon,2015,61955,Petrol,Manual,3,128000,JP Colony Hyderabad
Maruti Alto 800,Maruti,Alto 800,2016,105197,Petrol,Manual,2,193000,Near aryasamaj Karwan hyderabad Hyderabad
Hyundai NEW I20,Hyundai,NEW I20,2024,14576,Petrol,Auto,1,925000,Gachibowli Hyderabad Telangana
Tata Tiago,Tata,Tiago,2019,95730,Diesel,Manual,2,310000,Jagadevpur Jagdevpur
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2012,95229,Petrol,Manual,3,153000,Telangana India Hyderabad
Chevrolet Spark,Chevrolet,Spark,2011,35219,Petrol,Manual,1,75000,Sitaramnagar Sitaramnagar Secunderabad
Hyundai Elite i20,Hyundai,Elite i20,2014,153340,Petrol,Manual,2,337000,Bachupally Hyderabad Telangana
Maruti Swift Dzire,Maruti,Swift Dzire,2013,116802,Diesel,Manual,2,353000,Jagadgiri Gutta Hyderabad Telangana
Tata Indigo ECS,Tata,Indigo ECS,2013,244990,Diesel,Manual,1,130000,Moosapet Hyderabad
Honda Amaze,Honda,Amaze,2013,61185,Petrol,Manual,2,280000,Telangana India Hyderabad
Hyundai i20,Hyundai,i20,2011,82118,Petrol,Manual,2,210000,Sanath Nagar Hyderabad
Hyundai Grand i10,Hyundai,Grand i10,2014,182080,Diesel,Manual,2,259000,Medchal-Malkajgiri Lean Hyderabad
KIA SONET,KIA,SONET,2022,33075,Petrol,Manual,1,650000,Ameenpur Lakeview sai baba temple Beside of ameenpur lake Hyderabad
Ford Ecosport,Ford,Ecosport,2013,116391,Diesel,Manual,2,205911,Syed Ali Nawaz Building Nampally Hyderabad
Tata Zest,Tata,Zest,2014,83118,Petrol,Manual,2,207000,Peerzadiguda Hyderabad
Ford Figo,Ford,Figo,2012,104062,Diesel,Manual,1,149000,Kaman Hyderabad Telangana
KIA SELTOS,KIA,SELTOS,2022,55159,Petrol,Manual,1,1114000,Borabanda Hyderabad
Renault Kwid,Renault,Kwid,2017,88843,Petrol,Auto,1,289000,Ashoka one Swanlake Hyderabad
Honda Brio,Honda,Brio,2012,59455,Petrol,Manual,1,211000,Sri sai classic apt Sri sai classic apt Khanammet
Tata NEXON,Tata,NEXON,2019,94372,Petrol,Auto,1,650000,Citizens hospital Aparna Cyberzon Nallagandla
Maruti Swift,Maruti,Swift,2018,95189,Petrol,Manual,2,526000,Bandlaguda Jagir Hyderabad Telangana
Tata TIGOR,Tata,TIGOR,2019,50891,Petrol,Manual,1,439000,Dammaiguda Secunderabad Telangana
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2013,116495,Petrol,Manual,1,238000,Kukatpally Hyderabad Telangana
Maruti Wagon R 1.0,Maruti,Wagon R 1.0,2013,106955,Petrol,Manual,2,207000,Ameerpet Hyderabad Telangana
Maruti SX4,Maruti,SX4,2011,73156,Petrol,Manual,2,165000,Rukmini Piti colony Dr A S Rao nagar Secunderabad
Honda Civic,Honda,Civic,2011,68900,Petrol,Auto,4,144000,Hyderabad Telangana Hyderabad
Hyundai i20,Hyundai,i20,2014,149059,Diesel,Manual,3,251000,Tulasi Krisna Heights. Sathyanarayanapuram road 13 Tulasi Krisna Heights. Sathyanarayanapuram road 13 Hyderabad
Hyundai i10,Hyundai,i10,2012,94700,Petrol,Manual,2,166000,Himayatnagar Hyderabad Telangana
Hyundai i20,Hyundai,i20,2011,129331,Diesel,Manual,2,160000,Ramachandrapuram (BHEL Township) Hyderabad Telangana
Hyundai i10,Hyundai,i10,2012,99318,Petrol,Manual,2,181000,Jagathgiri Gutta Hyderabad Telangana
Ford Figo,Ford,Figo,2012,121237,Diesel,Manual,2,120000,Himayatnagar Hyderabad Telangana
Hyundai Creta,Hyundai,Creta,2018,85757,Petrol,Auto,1,900000,sree sath guru prasad sree sath guru prasad Secunderabad
Tata PUNCH,Tata,PUNCH,2022,20627,Petrol,Auto,1,712000,Kukatpally Hyderabad Telangana
Maruti Swift Dzire,Maruti,Swift Dzire,2015,148682,Diesel,Manual,3,443000,Visaka Nagar Almasguda
